instruction,context,response,state,source,years_covered
What has been the trend in social sector expenditure in Odisha over the years?,"{'1980-81': '274', '1990-91': '1113', '2000-01': '4065', '2010-11': 15240.0, '2015-16 (RE)': 37440}","In Odisha, social sector expenditure has shown an increase over the years. For example, in 1980-81 it was 274, rising to 1113 in 1990-91, and reaching 37440 by 2015-16 (RE). This suggests a significant growth in investment in social sectors, aimed at improving welfare and development.",Odisha,Social Sector Expenditure Dataset,"1980-81, 1990-91, 2000-01, 2010-11, 2015-16 (RE)"
What has been the trend in social sector expenditure in Punjab over the years?,"{'1980-81': '252', '1990-91': '957', '2000-01': '3887', '2010-11': 8350.0, '2015-16 (RE)': 18510}","In Punjab, social sector expenditure has shown an increase over the years. For example, in 1980-81 it was 252, rising to 957 in 1990-91, and reaching 18510 by 2015-16 (RE). This suggests a significant growth in investment in social sectors, aimed at improving welfare and development.",Punjab,Social Sector Expenditure Dataset,"1980-81, 1990-91, 2000-01, 2010-11, 2015-16 (RE)"
What has been the trend in social sector expenditure in Rajasthan over the years?,"{'1980-81': '323', '1990-91': '1866', '2000-01': '7224', '2010-11': 22790.0, '2015-16 (RE)': 67370}","In Rajasthan, social sector expenditure has shown an increase over the years. For example, in 1980-81 it was 323, rising to 1866 in 1990-91, and reaching 67370 by 2015-16 (RE). This suggests a significant growth in investment in social sectors, aimed at improving welfare and development.",Rajasthan,Social Sector Expenditure Dataset,"1980-81, 1990-91, 2000-01, 2010-11, 2015-16 (RE)"
What has been the trend in social sector expenditure in Sikkim over the years?,"{'1980-81': '9', '1990-91': '61', '2000-01': '259', '2010-11': 1060.0, '2015-16 (RE)': 2010}","In Sikkim, social sector expenditure has shown an increase over the years. For example, in 1980-81 it was 9, rising to 61 in 1990-91, and reaching 2010 by 2015-16 (RE). This suggests a significant growth in investment in social sectors, aimed at improving welfare and development.",Sikkim,Social Sector Expenditure Dataset,"1980-81, 1990-91, 2000-01, 2010-11, 2015-16 (RE)"
What has been the trend in social sector expenditure in Tamil Nadu over the years?,"{'1980-81': '506', '1990-91': '2985', '2000-01': '9618', '2010-11': 36490.0, '2015-16 (RE)': 70980}","In Tamil Nadu, social sector expenditure has shown an increase over the years. For example, in 1980-81 it was 506, rising to 2985 in 1990-91, and reaching 70980 by 2015-16 (RE). This suggests a significant growth in investment in social sectors, aimed at improving welfare and development.",Tamil Nadu,Social Sector Expenditure Dataset,"1980-81, 1990-91, 2000-01, 2010-11, 2015-16 (RE)"
What has been the trend in social sector expenditure in Telangana over the years?,"{'1980-81': nan, '1990-91': nan, '2000-01': nan, '2010-11': nan, '2015-16 (RE)': 51130}","In Telangana, social sector expenditure has shown an increase over the years. For example, in 1980-81 it was nan, rising to nan in 1990-91, and reaching 51130 by 2015-16 (RE). This suggests a significant growth in investment in social sectors, aimed at improving welfare and development.",Telangana,Social Sector Expenditure Dataset,"1980-81, 1990-91, 2000-01, 2010-11, 2015-16 (RE)"
What has been the trend in social sector expenditure in Tripura over the years?,"{'1980-81': '49', '1990-91': '264', '2000-01': '896', '2010-11': 2160.0, '2015-16 (RE)': 7210}","In Tripura, social sector expenditure has shown an increase over the years. For example, in 1980-81 it was 49, rising to 264 in 1990-91, and reaching 7210 by 2015-16 (RE). This suggests a significant growth in investment in social sectors, aimed at improving welfare and development.",Tripura,Social Sector Expenditure Dataset,"1980-81, 1990-91, 2000-01, 2010-11, 2015-16 (RE)"
What has been the trend in social sector expenditure in Uttar Pradesh over the years?,"{'1980-81': '821', '1990-91': '4711', '2000-01': '12135', '2010-11': 50670.0, '2015-16 (RE)': 116170}","In Uttar Pradesh, social sector expenditure has shown an increase over the years. For example, in 1980-81 it was 821, rising to 4711 in 1990-91, and reaching 116170 by 2015-16 (RE). This suggests a significant growth in investment in social sectors, aimed at improving welfare and development.",Uttar Pradesh,Social Sector Expenditure Dataset,"1980-81, 1990-91, 2000-01, 2010-11, 2015-16 (RE)"
What has been the trend in social sector expenditure in Uttarakhand over the years?,"{'1980-81': '\x96', '1990-91': '\x96', '2000-01': '355', '2010-11': 5950.0, '2015-16 (RE)': 15200}","In Uttarakhand, social sector expenditure has shown an increase over the years. For example, in 1980-81 it was , rising to  in 1990-91, and reaching 15200 by 2015-16 (RE). This suggests a significant growth in investment in social sectors, aimed at improving welfare and development.",Uttarakhand,Social Sector Expenditure Dataset,"1980-81, 1990-91, 2000-01, 2010-11, 2015-16 (RE)"
What has been the trend in social sector expenditure in West Bengal over the years?,"{'1980-81': '592', '1990-91': '2824', '2000-01': '9623', '2010-11': 30560.0, '2015-16 (RE)': 62630}","In West Bengal, social sector expenditure has shown an increase over the years. For example, in 1980-81 it was 592, rising to 2824 in 1990-91, and reaching 62630 by 2015-16 (RE). This suggests a significant growth in investment in social sectors, aimed at improving welfare and development.",West Bengal,Social Sector Expenditure Dataset,"1980-81, 1990-91, 2000-01, 2010-11, 2015-16 (RE)"
What has been the trend in social sector expenditure in Delhi over the years?,"{'1980-81': '\x96', '1990-91': '\x96', '2000-01': '3000', '2010-11': 10810.0, '2015-16 (RE)': 22230}","In Delhi, social sector expenditure has shown an increase over the years. For example, in 1980-81 it was , rising to  in 1990-91, and reaching 22230 by 2015-16 (RE). This suggests a significant growth in investment in social sectors, aimed at improving welfare and development.",Delhi,Social Sector Expenditure Dataset,"1980-81, 1990-91, 2000-01, 2010-11, 2015-16 (RE)"
What has been the trend in social sector expenditure in Puducherry over the years?,"{'1980-81': '\x96', '1990-91': '\x96', '2000-01': '\x96', '2010-11': 1560.0, '2015-16 (RE)': 2730}","In Puducherry, social sector expenditure has shown an increase over the years. For example, in 1980-81 it was , rising to  in 1990-91, and reaching 2730 by 2015-16 (RE). This suggests a significant growth in investment in social sectors, aimed at improving welfare and development.",Puducherry,Social Sector Expenditure Dataset,"1980-81, 1990-91, 2000-01, 2010-11, 2015-16 (RE)"
